"CustomerID","Total_Purchase_Value","Customer_Value"
12601,577.06,"Medium Value"
12602,153.12,"Low Value"
12603,739.2,"High Value"
12604,254.18,"Low Value"
12607,1579.51,"High Value"
12609,1126.85,"High Value"
12610,2099.54,"Premium"
12611,1193.32,"High Value"
12612,704.04,"High Value"
12613,3344.38,"Premium"
12614,315.6,"Medium Value"
12615,2291.19,"Premium"
12616,713.3,"High Value"
12617,352.98,"Medium Value"
12618,177.31,"Low Value"
12619,3641.24,"Premium"
12620,1339.41,"High Value"
12621,13689.67,"Premium"
12622,180.1,"Low Value"
12623,305.1,"Low Value"
12624,641.13,"Medium Value"
12625,2683.82,"Premium"
12626,6620.48,"Premium"
12627,4478.53,"Premium"
12628,786.46,"High Value"
12630,1270.88,"High Value"
12631,640.5,"Medium Value"
12633,2163.98,"Premium"
12635,1689.18,"Premium"
12637,6002.9,"Premium"
12638,671.69,"High Value"
12639,486.1,"Medium Value"
12640,1174.58,"High Value"
12641,185.9,"Low Value"
12642,1013.26,"High Value"
12643,3344.64,"Premium"
12644,477.91,"Medium Value"
12645,1775.18,"Premium"
12646,1346.97,"High Value"
12647,3722.82,"Premium"
12648,318.05,"Medium Value"
12649,623.51,"Medium Value"
12650,314.44,"Medium Value"
12651,114,"Low Value"
12652,919.98,"High Value"
12653,2209.85,"Premium"
12654,601.98,"Medium Value"
12656,4051.17,"Premium"
12657,1643.18,"High Value"
12658,686.05,"High Value"
12659,91.68,"Low Value"
12660,245.1,"Low Value"
12662,3849.78,"Premium"
12664,4881.88,"Premium"
12665,63,"Low Value"
12667,620.13,"Medium Value"
12668,3807.15,"Premium"
12669,2744.03,"Premium"
12670,2996.05,"Premium"
12672,225.9,"Low Value"
12673,610.52,"Medium Value"
12674,1970.6,"Premium"
12676,1331.39,"High Value"
12678,17628.46,"Premium"
12679,1113.02,"High Value"
12680,862.81,"High Value"
12681,13787.54,"Premium"
12682,12279.82,"Premium"
12683,8476.57,"Premium"
12684,2283.63,"Premium"
12685,2863.08,"Premium"
12686,89.14,"Low Value"
12688,4873.81,"Premium"
12689,1247.61,"High Value"
12690,389.01,"Medium Value"
12691,1035.8,"High Value"
12693,855.91,"High Value"
12694,869.67,"High Value"
12695,582.1,"Medium Value"
12697,957.59,"High Value"
12700,4939.99000000001,"Premium"
12701,797.71,"High Value"
12702,219,"Low Value"
12703,283.55,"Low Value"
12704,2340.84,"Premium"
12705,6868.29,"Premium"
12707,603.42,"Medium Value"
12708,2712.91,"Premium"
12709,9706.51999999999,"Premium"
12710,1149.02,"High Value"
12712,4396.13,"Premium"
12713,848.55,"High Value"
12714,4708.85999999999,"Premium"
12715,343.36,"Medium Value"
12716,1053.49,"High Value"
12717,1030.98,"High Value"
12718,238.25,"Low Value"
12719,644.95,"Medium Value"
12720,5781.73,"Premium"
12721,2656.13,"Premium"
12722,997.63,"High Value"
12723,725.07,"High Value"
12724,1031.41,"High Value"
12725,427.8,"Medium Value"
12726,2609.1,"Premium"
12727,3980.7,"Premium"
12728,836.33,"High Value"
12729,453.01,"Medium Value"
12731,18895.91,"Premium"
12732,236.26,"Low Value"
12733,383.95,"Medium Value"
12734,110.4,"Low Value"
12735,779.57,"High Value"
12736,234,"Low Value"
12738,155.35,"Low Value"
12739,1013.04,"High Value"
12740,427.6,"Medium Value"
12743,540.13,"Medium Value"
12744,21279.29,"Premium"
12747,4196.01,"Premium"
12748,33053.1900000004,"Premium"
12749,4090.88,"Premium"
12750,275.88,"Low Value"
12752,4366.78,"Premium"
12753,21429.39,"Premium"
12754,3010.74,"Premium"
12755,3811.95,"Premium"
12756,112.08,"Low Value"
12757,7834.65,"Premium"
12758,2791.59,"Premium"
12759,1531.44,"High Value"
12762,1898.52,"Premium"
12763,494.08,"Medium Value"
12764,1693.88,"Premium"
12766,6989.63,"Premium"
12769,1143.6,"High Value"
12770,1351.45,"High Value"
12772,892.47,"High Value"
12775,1386.04,"High Value"
12778,822.23,"High Value"
12779,3981.36,"Premium"
12781,826.74,"High Value"
12782,2330.92,"Premium"
12783,2225.91,"Premium"
12784,532.82,"Medium Value"
12785,311.95,"Medium Value"
12787,463.66,"Medium Value"
12789,91.85,"Low Value"
12790,324.92,"Medium Value"
12791,192.6,"Low Value"
12792,400.54,"Medium Value"
12793,545.48,"Medium Value"
12794,860.41,"High Value"
12795,430.48,"Medium Value"
12797,254.03,"Low Value"
12798,6977.04,"Premium"
12802,427.58,"Medium Value"
12808,483.65,"Medium Value"
12809,489.31,"Medium Value"
12811,514.85,"Medium Value"
12812,229.64,"Low Value"
12814,125.92,"Low Value"
12815,1063.46,"High Value"
12816,572.2,"Medium Value"
12817,166.04,"Low Value"
12818,1542.08,"High Value"
12820,942.34,"High Value"
12821,92.72,"Low Value"
12822,948.88,"High Value"
12823,1759.5,"Premium"
12824,397.12,"Medium Value"
12826,1474.72,"High Value"
12827,430.15,"Medium Value"
12828,1018.71,"High Value"
12829,293,"Low Value"
12830,6814.64,"Premium"
12831,215.05,"Low Value"
12832,383.03,"Medium Value"
12833,417.38,"Medium Value"
12834,312.38,"Medium Value"
12836,2610.36,"Premium"
12837,134.1,"Low Value"
12838,671.95,"High Value"
12839,5591.42,"Premium"
12840,2726.77,"Premium"
12841,3991.58,"Premium"
12842,1118.99,"High Value"
12843,1702.26,"Premium"
12844,325.96,"Medium Value"
12845,354.09,"Medium Value"
12847,843.64,"High Value"
12849,1010.29,"High Value"
12851,131.81,"Low Value"
12852,311.55,"Medium Value"
12853,1957.1,"Premium"
12854,1316.25,"High Value"
12855,38.1,"Low Value"
12856,2170.78,"Premium"
12857,1106.4,"High Value"
12863,521.2,"Medium Value"
12864,147.12,"Low Value"
12865,1568.23,"High Value"
12866,559.12,"Medium Value"
12867,4009.34,"Premium"
12868,1607.06,"High Value"
12871,380.64,"Medium Value"
12872,599.97,"Medium Value"
12873,374,"Medium Value"
12875,343.23,"Medium Value"
12876,2218.02,"Premium"
12877,1535.77,"High Value"
12878,854.99,"High Value"
12879,573.22,"Medium Value"
12881,298,"Low Value"
12882,1463.04,"High Value"
12883,703.47,"High Value"
12884,309.05,"Medium Value"
12885,1175.22,"High Value"
12886,1378.4,"High Value"
12888,354.12,"Medium Value"
12890,376.72,"Medium Value"
12891,331,"Medium Value"
12893,176.55,"Low Value"
12895,372.8,"Medium Value"
12897,216.5,"Low Value"
12901,17654.54,"Premium"
12902,138.68,"Low Value"
12904,496.06,"Medium Value"
12906,2919.81,"Premium"
12908,750,"High Value"
12909,2178.67,"Premium"
12910,3075.04,"Premium"
12912,1662.3,"Premium"
12913,2483.63,"Premium"
12915,363.65,"Medium Value"
12916,2944.95,"Premium"
12917,594,"Medium Value"
12919,1335.19,"High Value"
12920,162.78,"Low Value"
12921,16587.09,"Premium"
12922,405.38,"Medium Value"
12923,172.82,"Low Value"
12924,933.7,"High Value"
12925,694.05,"High Value"
12928,2062.7,"Premium"
12929,117.85,"Low Value"
12930,415.8,"Medium Value"
12931,42055.96,"Premium"
12933,607.53,"Medium Value"
12935,2160.7,"Premium"
12936,1063.9,"High Value"
12937,1504.27,"High Value"
12938,114.14,"Low Value"
12939,11581.8,"Premium"
12940,899.69,"High Value"
12942,675.6,"High Value"
12944,604.51,"Medium Value"
12945,462.95,"Medium Value"
12947,1603.99,"High Value"
12948,2064.95,"Premium"
12949,4167.22,"Premium"
12950,1843,"Premium"
12951,1064.07,"High Value"
12952,1387.79,"High Value"
12953,329.85,"Medium Value"
12955,4757.16,"Premium"
12956,108.07,"Low Value"
12957,4017.54,"Premium"
12962,266.39,"Low Value"
12963,1856.63,"Premium"
12965,769.81,"High Value"
12966,160.18,"Low Value"
12967,1660.9,"Premium"
12968,135.95,"Low Value"
12970,405.47,"Medium Value"
12971,11189.91,"Premium"
12974,144.8,"Low Value"
12976,738.6,"High Value"
12977,39.24,"Low Value"
12980,7374.9,"Premium"
12981,372.22,"Medium Value"
12982,390.54,"Medium Value"
12984,97.5,"Low Value"
12985,1239.38,"High Value"
12987,558.7,"Medium Value"
12988,505.82,"Medium Value"
12989,6924.11,"Premium"
12990,409.5,"Medium Value"
12991,503.76,"Medium Value"
12993,414.76,"Medium Value"
12994,974.42,"High Value"
12995,211.32,"Low Value"
12997,1226.89,"High Value"
12999,455.88,"Medium Value"
13000,534.85,"Medium Value"
13001,9785.97000000001,"Premium"
13002,120.95,"Low Value"
13003,149.05,"Low Value"
13004,5655.91,"Premium"
13005,513.7,"Medium Value"
13006,81.57,"Low Value"
13008,229.47,"Low Value"
13011,50.55,"Low Value"
13012,1646.84,"High Value"
13013,4810.94,"Premium"
13014,3466.28,"Premium"
13015,3339.64,"Premium"
13016,789.89,"High Value"
13017,204,"Low Value"
13018,7277.7,"Premium"
13021,2616.38,"Premium"
13023,689.9,"High Value"
13026,975.36,"High Value"
13027,6912,"Premium"
13028,661.32,"Medium Value"
13029,1247.5,"High Value"
13030,752.44,"High Value"
13032,1010.18,"High Value"
13033,190.55,"Low Value"
13034,642.77,"Medium Value"
13035,921.88,"High Value"
13037,881.07,"High Value"
13038,908.46,"High Value"
13040,676.99,"High Value"
13043,516.42,"Medium Value"
13044,560.47,"Medium Value"
13045,305.28,"Low Value"
13046,629.31,"Medium Value"
13047,3237.54,"Premium"
13048,1819.41,"Premium"
13049,656.68,"Medium Value"
13050,5836.86,"Premium"
13052,348.15,"Medium Value"
13055,1214.41,"High Value"
13058,271.4,"Low Value"
13059,183.4,"Low Value"
13060,307.53,"Medium Value"
13061,248.61,"Low Value"
13062,346.98,"Medium Value"
13064,1105.59,"High Value"
13065,205.86,"Low Value"
13066,470.8,"Medium Value"
13067,115.46,"Low Value"
13068,344,"Medium Value"
13069,4431.44,"Premium"
13070,228.8,"Low Value"
13072,177.15,"Low Value"
13075,919.61,"High Value"
13077,728.02,"High Value"
13078,12627.94,"Premium"
13079,220.1,"Low Value"
13080,58.08,"Low Value"
13081,28337.38,"Premium"
13082,3613.63,"Premium"
13083,303.75,"Low Value"
13085,416.08,"Medium Value"
13089,58762.0800000001,"Premium"
13090,8910.82,"Premium"
13091,345.82,"Medium Value"
13092,477.83,"Medium Value"
13093,7832.47,"Premium"
13094,1927.32,"Premium"
13095,74.4,"Low Value"
13097,6003.21999999999,"Premium"
13098,28882.44,"Premium"
13099,207.36,"Low Value"
13101,101.19,"Low Value"
13102,6424.09,"Premium"
13103,243.94,"Low Value"
13104,1098.48,"High Value"
13106,76.5,"Low Value"
13107,1531.62,"High Value"
13108,350.06,"Medium Value"
13109,786.54,"High Value"
13110,1488.67,"High Value"
13113,12245.96,"Premium"
13115,2294.78,"Premium"
13116,501.14,"Medium Value"
13117,984.91,"High Value"
13118,1197.81,"High Value"
13120,30.6,"Low Value"
13121,283.73,"Low Value"
13122,922.39,"High Value"
13124,3756.33,"Premium"
13126,2099.64,"Premium"
13127,259.17,"Low Value"
13130,64,"Low Value"
13131,1073.3,"High Value"
13132,77.3,"Low Value"
13133,109.8,"Low Value"
13134,1793.58,"Premium"
13135,3096,"Premium"
13136,2607.61,"Premium"
13137,3603.29,"Premium"
13138,962.39,"High Value"
13139,5064.94,"Premium"
13140,422.47,"Medium Value"
13141,2388.75,"Premium"
13142,307.09,"Medium Value"
13144,110.95,"Low Value"
13145,618.52,"Medium Value"
13146,228.91,"Low Value"
13147,712.8,"High Value"
13148,3683.26,"Premium"
13149,1676.06,"Premium"
13151,1257.87,"High Value"
13153,486.22,"Medium Value"
13155,971.76,"High Value"
13157,1741.22,"Premium"
13158,1201.06,"High Value"
13159,1429.35,"High Value"
13160,91.8,"Low Value"
13161,112.75,"Low Value"
13162,1688.29,"Premium"
13165,1021.48,"High Value"
13166,417.2,"Medium Value"
13167,791.33,"High Value"
13168,1299.59,"High Value"
13169,712.88,"High Value"
13170,108.81,"Low Value"
13171,468.41,"Medium Value"
13173,353.65,"Medium Value"
13174,2742.82,"Premium"
13176,481.49,"Medium Value"
13177,282.45,"Low Value"
13178,5725.47,"Premium"
13182,121.18,"Low Value"
13183,3957.78,"Premium"
13184,1668.95,"Premium"
13185,71.4,"Low Value"
13186,1575.89,"High Value"
13187,236.02,"Low Value"
13188,114.6,"Low Value"
13189,260.68,"Low Value"
13192,911.94,"High Value"
13193,112.08,"Low Value"
13194,60.7,"Low Value"
13196,1797.78,"Premium"
13198,3401.24,"Premium"
13199,9817.12,"Premium"
13200,870.09,"High Value"
13203,869.46,"High Value"
13207,250.26,"Low Value"
13208,1217.65,"High Value"
13209,5891.61,"Premium"
13210,353.48,"Medium Value"
13211,1095.42,"High Value"
13212,786.83,"High Value"
13213,1520.58,"High Value"
13216,333.74,"Medium Value"
13217,533.98,"Medium Value"
13218,62.64,"Low Value"
13220,819.29,"High Value"
13221,847.41,"High Value"
13223,163.2,"Low Value"
13224,2155.95,"Premium"
13225,6463.84,"Premium"
13226,108.21,"Low Value"
13227,257.7,"Low Value"
13228,358,"Medium Value"
13229,160.95,"Low Value"
13230,2755.63,"Premium"
13232,1328.35,"High Value"
13233,605.12,"Medium Value"
13235,1031.07,"High Value"
13236,744.85,"High Value"
13238,700.73,"High Value"
13239,329.56,"Medium Value"
13240,663.65,"Medium Value"
13242,270.4,"Low Value"
13243,585.12,"Medium Value"
13244,121.74,"Low Value"
13245,430.5,"Medium Value"
13246,1961.52,"Premium"
13247,501.12,"Medium Value"
13248,465.68,"Medium Value"
13249,711.41,"High Value"
13253,1030.4,"High Value"
13255,399.51,"Medium Value"
13258,672.83,"High Value"
13259,283.18,"Low Value"
13260,557.62,"Medium Value"
13261,944.1,"High Value"
13262,200.29,"Low Value"
13263,7436.92999999996,"Premium"
13265,2092.66,"Premium"
13266,3834.26,"Premium"
13267,4521.49,"Premium"
13268,3174.75,"Premium"
13269,5343.28,"Premium"
13270,590,"Medium Value"
13271,211.49,"Low Value"
13272,276.56,"Low Value"
13273,138.98,"Low Value"
13276,590.93,"Medium Value"
13277,258.4,"Low Value"
13278,542.73,"Medium Value"
13279,137.75,"Low Value"
13280,798.46,"High Value"
13282,1132.14,"High Value"
13283,93.66,"Low Value"
13284,201.19,"Low Value"
13285,2709.12,"Premium"
13291,361.11,"Medium Value"
13292,578.94,"Medium Value"
13294,873.74,"High Value"
13295,201.2,"Low Value"
13296,87.4,"Low Value"
13297,2089.85,"Premium"
13298,360,"Medium Value"
13299,142.5,"Low Value"
13300,371.89,"Medium Value"
13301,618.09,"Medium Value"
13302,63.75,"Low Value"
13304,300.42,"Low Value"
13305,2000.86,"Premium"
13307,15,"Low Value"
13308,1385.51,"High Value"
13309,1456.79,"High Value"
13310,1132.03,"High Value"
13311,598.57,"Medium Value"
13313,1555.32,"High Value"
13314,775.94,"High Value"
13316,5732.93,"Premium"
13317,2273.68,"Premium"
13318,640.76,"Medium Value"
13319,10845.55,"Premium"
13320,1532.2,"High Value"
13321,567.36,"Medium Value"
13322,199.48,"Low Value"
13323,787.85,"High Value"
13324,7121.94999999999,"Premium"
13325,675.3,"High Value"
13327,3627.77,"Premium"
13328,1308.48,"High Value"
13329,789,"High Value"
13330,1140.93,"High Value"
13332,350.9,"Medium Value"
13334,3502.32,"Premium"
13336,795.12,"High Value"
13338,487.02,"Medium Value"
13339,860.12,"High Value"
13340,10736.48,"Premium"
13341,775.85,"High Value"
13343,353.43,"Medium Value"
13344,2511.69,"Premium"
13345,389.5,"Medium Value"
13347,341.36,"Medium Value"
13348,233.76,"Low Value"
13349,247.32,"Low Value"
13350,979.12,"High Value"
13351,373.94,"Medium Value"
13352,397.98,"Medium Value"
13354,743.53,"High Value"
13355,674.7,"High Value"
13356,768.24,"High Value"
13357,609.4,"Medium Value"
13358,439.03,"Medium Value"
13359,439.56,"Medium Value"
13362,3090.74,"Premium"
13363,992.5,"High Value"
13364,134.96,"Low Value"
13365,2225.37,"Premium"
13366,56.16,"Low Value"
13368,623.4,"Medium Value"
13369,308.28,"Medium Value"
13370,754.87,"High Value"
13372,378.64,"Medium Value"
13373,3312.25,"Premium"
13375,778.65,"High Value"
13376,1019.76,"High Value"
13379,572.56,"Medium Value"
13381,3639.31,"Premium"
13382,222.99,"Low Value"
13384,4151.93,"Premium"
13385,534.57,"Medium Value"
13388,677.1,"High Value"
13389,797.96,"High Value"
13390,544.08,"Medium Value"
13391,59.8,"Low Value"
13394,2520.02,"Premium"
13395,307.72,"Medium Value"
13396,1360.99,"High Value"
13397,1544.13,"High Value"
13398,457.34,"Medium Value"
13402,621.23,"Medium Value"
13403,75,"Low Value"
13404,252.49,"Low Value"
13405,572.451,"Medium Value"
13408,28117.04,"Premium"
13410,1003.06,"High Value"
13411,213.55,"Low Value"
13414,1390.5,"High Value"
13416,712.5,"High Value"
13417,640.83,"Medium Value"
13418,6127.43,"Premium"
13419,221.06,"Low Value"
13420,159.85,"Low Value"
13421,1833.71,"Premium"
13422,2626.3,"Premium"
13425,1624.21,"High Value"
13426,3641.32,"Premium"
13427,582.6,"Medium Value"
13428,201.78,"Low Value"
13429,1006.8,"High Value"
13430,679.45,"High Value"
13431,1269.1,"High Value"
13434,534.24,"Medium Value"
13435,3809.89,"Premium"
13436,196.89,"Low Value"
13437,3408.06,"Premium"
13439,283.71,"Low Value"
13441,296.64,"Low Value"
13447,1129.14,"High Value"
13448,3534.69,"Premium"
13449,291.88,"Low Value"
13450,2043.72,"Premium"
13451,2898.26,"Premium"
13452,590,"Medium Value"
13453,356.98,"Medium Value"
13455,1058.34,"High Value"
13456,1766.72,"Premium"
13458,9646.57,"Premium"
13460,183.44,"Low Value"
13461,1445,"High Value"
13462,151.5,"Low Value"
13464,674.68,"High Value"
13466,307.9,"Medium Value"
13467,1071.91,"High Value"
13468,5704.97,"Premium"
13470,165,"Low Value"
13471,2501.84,"Premium"
13473,422.64,"Medium Value"
13474,226.84,"Low Value"
13475,1431.78,"High Value"
13476,1238.47,"High Value"
13477,1454.58,"High Value"
13479,300.95,"Low Value"
13481,1804.56,"Premium"
13482,184.64,"Low Value"
13483,140.34,"Low Value"
13484,313.8,"Medium Value"
13485,454.24,"Medium Value"
13486,1122.41,"High Value"
13487,575.4,"Medium Value"
13488,8968.31,"Premium"
13489,449.52,"Medium Value"
13491,1215.82,"High Value"
13492,1269.84,"High Value"
13493,618.63,"Medium Value"
13494,316.26,"Medium Value"
13495,2044.87,"Premium"
13496,653.33,"Medium Value"
13497,348.05,"Medium Value"
13499,1159.11,"High Value"
13500,1166.77,"High Value"
13501,1340.32,"High Value"
13502,292,"Low Value"
13503,216.85,"Low Value"
13504,295.93,"Low Value"
13505,4393.63,"Premium"
13506,458.52,"Medium Value"
13507,2479.16,"Premium"
13508,110.97,"Low Value"
13509,979.72,"High Value"
13510,1791.56,"Premium"
13512,251.21,"Low Value"
13513,205.1,"Low Value"
13514,152.2,"Low Value"
13515,891.12,"High Value"
13516,1389.41,"High Value"
13517,2128.42,"Premium"
13518,627.16,"Medium Value"
13519,122.75,"Low Value"
13520,3624.35,"Premium"
13521,1071.73,"High Value"
13522,125.8,"Low Value"
13523,3964.88,"Premium"
13524,680.18,"High Value"
13525,628.78,"Medium Value"
13527,2242.36,"Premium"
13529,307.76,"Medium Value"
13531,483.8,"Medium Value"
13532,210.31,"Low Value"
13533,269.09,"Low Value"
13534,5870.08000000002,"Premium"
13536,3444.39,"Premium"
13538,1280.85,"High Value"
13539,631.34,"Medium Value"
13544,276.06,"Low Value"
13546,621.09,"Medium Value"
13548,678.16,"High Value"
13549,918.2,"High Value"
13551,91.8,"Low Value"
13552,3740.07,"Premium"
13555,4098.88,"Premium"
13557,584.06,"Medium Value"
13558,594.52,"Medium Value"
13560,171.42,"Low Value"
13561,141.86,"Low Value"
13562,1799.33,"Premium"
13563,777.53,"High Value"
13564,1724.67,"Premium"
13565,240.22,"Low Value"
13566,856.84,"High Value"
13568,187.05,"Low Value"
13569,338.62,"Medium Value"
13570,239.49,"Low Value"
13571,2088.94,"Premium"
13572,1384.25,"High Value"
13573,290.25,"Low Value"
13575,732.07,"High Value"
13576,6717.34,"Premium"
13577,1687.6,"Premium"
13579,467.04,"Medium Value"
13581,118,"Low Value"
13583,781.03,"High Value"
13584,142.4,"Low Value"
13587,712.4,"High Value"
13588,2478.95,"Premium"
13589,379.65,"Medium Value"
13590,1981.92,"Premium"
13591,1117.13,"High Value"
13592,247.96,"Low Value"
13593,2011.88,"Premium"
13594,396.97,"Medium Value"
13596,664.11,"Medium Value"
13598,160.04,"Low Value"
13599,5149.92,"Premium"
13600,219.52,"Low Value"
13601,693.32,"High Value"
13602,428.89,"Medium Value"
13603,164.34,"Low Value"
13606,276.75,"Low Value"
13607,675.51,"High Value"
13610,1082.33,"High Value"
13611,1154.4,"High Value"
13614,1585.46,"High Value"
13615,417.69,"Medium Value"
13617,544.18,"Medium Value"
13618,177.34,"Low Value"
13621,213.85,"Low Value"
13623,727.74,"High Value"
13626,257.23,"Low Value"
13627,1638.47,"High Value"
13629,7792.36,"Premium"
13630,2031.78,"Premium"
13631,3070.42,"Premium"
13632,2118.93,"Premium"
13634,1547.36,"High Value"
13635,1071.03,"High Value"
13636,949.12,"High Value"
13637,804.3,"High Value"
13638,122.64,"Low Value"
13639,1033.34,"High Value"
13642,312.28,"Medium Value"
13643,519.44,"Medium Value"
13644,2624.26,"Premium"
13645,252.1,"Low Value"
13647,1648.12,"High Value"
13649,346.6,"Medium Value"
13650,1836.34,"Premium"
13651,94.2,"Low Value"
13652,1095.08,"High Value"
13654,2707.33,"Premium"
13655,932.97,"High Value"
13656,379.65,"Medium Value"
13657,382.14,"Medium Value"
13658,2639.17,"Premium"
13659,1563,"High Value"
13662,881.26,"High Value"
13663,189.47,"Low Value"
13666,84.65,"Low Value"
13667,299.05,"Low Value"
13668,6309.82999999999,"Premium"
13669,218.55,"Low Value"
13670,349.7,"Medium Value"
13672,186.39,"Low Value"
13673,387.44,"Medium Value"
13675,486.82,"Medium Value"
13678,232.6,"Low Value"
13680,3719.12,"Premium"
13681,827.83,"High Value"
13682,59.5,"Low Value"
